NIT,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,DIA DE PEDIDO,FRECUENCIA
900349408,9,11,11,2,15
900310195,5,4,16,1,7
901289088,3,2,5,2,15
901289088,2,2,5,2,7
800132978,3,6,14,4,7
830080174,1,2,5,3,7
900746165,1,4,3,4,15
830081364,2,2,5,5,30
900375790,11,9,19,2,7
900148018,8,4,3,3,30
860010523,9,4,3,4,15
830084706,2,9,19,3,7
900403236,5,5,18,3,15
900403236,3,2,6,3,15
860047327,9,9,19,2,7
860047327,1,9,19,2,7
830013576,11,4,14,4,7
900894967,9,3,8,2,7
900894967,9,7,22,2,7
900657071,8,5,4,5,15
900450947,7,1,,2,7
900450947,7,13,39,6,7
830137451,7,6,2,2,15
900696599,11,12,6,4,15
805005901,4,4,14,3,30
830121556,2,4,14,4,15
800132978,11,6,12,4,7
900216965,9,1,11,2,7
901081488,11,9,19,5,15
901166896,1,2,5,2,15
901062793,7,1,11,1,15
830101245,1,3,9,1,7
830137589,7,5,15,3,15
900390211,8,3,40,3,30
860007402,6,8,1,4,15
860023096,10,13,28,1,15
860021801,6,11,11,5,15
900996944,4,3,8,1,15
900423306,6,13,39,4,30
900175059,8,9,19,1,15
900295535,1,3,8,1,15
901064005,1,12,6,1,15
901050523,8,3,8,2,7
900325873,8,7,22,3,15
844004702,4,1,10,4,15
830051999,8,4,13,5,15
860038537,6,4,14,2,15
811010001,6,6,13,2,15
860020370,6,2,18,2,15
860020370,6,7,7,2,15
860020370,6,1,10,2,15
830044442,9,1,11,5,7
900221139,4,1,10,4,15
900375638,8,4,17,2,7
860522633,1,4,16,4,15
860008867,3,7,19,4,15
860008867,3,7,19,4,15
860008867,3,9,19,4,15
900072949,2,2,5,4,7
860008867,3,9,19,4,15
860008867,3,9,19,4,15
860008867,3,9,19,4,15
860008867,3,7,19,4,15
860008867,3,7,19,4,15
860008867,3,9,19,4,15
860008867,3,9,19,4,15
860008867,3,9,19,4,15
860008867,3,9,19,4,15
860008867,8,8,1,1,7
860008867,8,8,1,1,15
860008867,8,8,1,1,15
830137185,1,8,1,3,7
860014310,9,8,1,2,15
860528174,3,6,2,6,7
900484723,3,6,13,1,15
900848805,8,6,27,3,15
900848805,8,6,27,3,15
900848413,9,6,27,3,15
900871109,8,7,22,2,15
900871109,8,4,16,2,15
860008953,6,8,41,1,30
900416995,3,7,22,1,15
800055599,11,7,22,2,7
901715742,1,1,10,4,15
900306654,7,13,28,3,7
900114434,0,1,10,4,15
900676770,5,2,5,6,15
901127826,5,2,18,1,15
900936439,11,7,7,3,7
900442811,1,8,1,2,30
900442811,1,8,1,2,30
900442811,1,8,1,2,30
